Drug,Review URL
Abilify,http://www.druglib.com/ratingsreviews/abilify/
Accutane,http://www.druglib.com/ratingsreviews/accutane/
Aciphex,http://www.druglib.com/ratingsreviews/aciphex/
Actonel,http://www.druglib.com/ratingsreviews/actonel/
Acyclovir,http://www.druglib.com/ratingsreviews/acyclovir/
Adderall,http://www.druglib.com/ratingsreviews/adderall/
Adderall-Xr,http://www.druglib.com/ratingsreviews/adderall-xr/
Adipex-P,http://www.druglib.com/ratingsreviews/adipex-p/
Advair-Diskus,http://www.druglib.com/ratingsreviews/advair-diskus/
Advair-Hfa,http://www.druglib.com/ratingsreviews/advair-hfa/
Advil,http://www.druglib.com/ratingsreviews/advil/
Albuterol,http://www.druglib.com/ratingsreviews/albuterol/
Albuterol-Hfa,http://www.druglib.com/ratingsreviews/albuterol-hfa/
Aldactone,http://www.druglib.com/ratingsreviews/aldactone/
Aldara,http://www.druglib.com/ratingsreviews/aldara/
Alendronate,http://www.druglib.com/ratingsreviews/alendronate/
Allegra,http://www.druglib.com/ratingsreviews/allegra/
Allegra-D,http://www.druglib.com/ratingsreviews/allegra-d/
Alprazolam,http://www.druglib.com/ratingsreviews/alprazolam/
Ambien,http://www.druglib.com/ratingsreviews/ambien/
Ambien-Cr,http://www.druglib.com/ratingsreviews/ambien-cr/
Amoxil,http://www.druglib.com/ratingsreviews/amoxil/
Aricept,http://www.druglib.com/ratingsreviews/aricept/
Armour-Thyroid,http://www.druglib.com/ratingsreviews/armour-thyroid/
Asacol,http://www.druglib.com/ratingsreviews/asacol/
Atacand,http://www.druglib.com/ratingsreviews/atacand/
Atenolol,http://www.druglib.com/ratingsreviews/atenolol/
Ativan,http://www.druglib.com/ratingsreviews/ativan/
Augmentin,http://www.druglib.com/ratingsreviews/augmentin/
Avage,http://www.druglib.com/ratingsreviews/avage/
Avelox,http://www.druglib.com/ratingsreviews/avelox/
Avita,http://www.druglib.com/ratingsreviews/avita/
Baclofen,http://www.druglib.com/ratingsreviews/baclofen/
Biaxin,http://www.druglib.com/ratingsreviews/biaxin/
Botox,http://www.druglib.com/ratingsreviews/botox/
Byetta,http://www.druglib.com/ratingsreviews/byetta/
Catapres,http://www.druglib.com/ratingsreviews/catapres/
Celebrex,http://www.druglib.com/ratingsreviews/celebrex/
Celexa,http://www.druglib.com/ratingsreviews/celexa/
Chantix,http://www.druglib.com/ratingsreviews/chantix/
Cialis,http://www.druglib.com/ratingsreviews/cialis/
Cipro,http://www.druglib.com/ratingsreviews/cipro/
Citalopram,http://www.druglib.com/ratingsreviews/citalopram/
Clarinex,http://www.druglib.com/ratingsreviews/clarinex/
Claripel-Cream,http://www.druglib.com/ratingsreviews/claripel-cream/
Clarithromycin,http://www.druglib.com/ratingsreviews/clarithromycin/
Claritin,http://www.druglib.com/ratingsreviews/claritin/
Cleocin,http://www.druglib.com/ratingsreviews/cleocin/
Climara,http://www.druglib.com/ratingsreviews/climara/
Clindamycin,http://www.druglib.com/ratingsreviews/clindamycin/
Clomid,http://www.druglib.com/ratingsreviews/clomid/
Clonazepam,http://www.druglib.com/ratingsreviews/clonazepam/
Concerta,http://www.druglib.com/ratingsreviews/concerta/
Coumadin,http://www.druglib.com/ratingsreviews/coumadin/
Cozaar,http://www.druglib.com/ratingsreviews/cozaar/
Crestor,http://www.druglib.com/ratingsreviews/crestor/
Cymbalta,http://www.druglib.com/ratingsreviews/cymbalta/
Cytomel,http://www.druglib.com/ratingsreviews/cytomel/
Darvocet-N,http://www.druglib.com/ratingsreviews/darvocet-n/
Depo-Provera,http://www.druglib.com/ratingsreviews/depo-provera/
Desyrel,http://www.druglib.com/ratingsreviews/desyrel/
Detrol-La,http://www.druglib.com/ratingsreviews/detrol-la/
Dexedrine,http://www.druglib.com/ratingsreviews/dexedrine/
Dextroamphetamine,http://www.druglib.com/ratingsreviews/dextroamphetamine/
Dianette,http://www.druglib.com/ratingsreviews/dianette/
Diazepam,http://www.druglib.com/ratingsreviews/diazepam/
Diclofenac,http://www.druglib.com/ratingsreviews/diclofenac/
Differin,http://www.druglib.com/ratingsreviews/differin/
Diflucan,http://www.druglib.com/ratingsreviews/diflucan/
Dilantin,http://www.druglib.com/ratingsreviews/dilantin/
Diovan,http://www.druglib.com/ratingsreviews/diovan/
Dispermox,http://www.druglib.com/ratingsreviews/dispermox/
Divigel,http://www.druglib.com/ratingsreviews/divigel/
Doryx,http://www.druglib.com/ratingsreviews/doryx/
Doxycycline,http://www.druglib.com/ratingsreviews/doxycycline/
Duac,http://www.druglib.com/ratingsreviews/duac/
Duragesic,http://www.druglib.com/ratingsreviews/duragesic/
Ecotrin,http://www.druglib.com/ratingsreviews/ecotrin/
Effexor,http://www.druglib.com/ratingsreviews/effexor/
Effexor-Xr,http://www.druglib.com/ratingsreviews/effexor-xr/
Elavil,http://www.druglib.com/ratingsreviews/elavil/
Elidel,http://www.druglib.com/ratingsreviews/elidel/
Emsam,http://www.druglib.com/ratingsreviews/emsam/
Enbrel,http://www.druglib.com/ratingsreviews/enbrel/
Erythromycin,http://www.druglib.com/ratingsreviews/erythromycin/
Estrace,http://www.druglib.com/ratingsreviews/estrace/
Evista,http://www.druglib.com/ratingsreviews/evista/
Fexofenadine,http://www.druglib.com/ratingsreviews/fexofenadine/
Finacea,http://www.druglib.com/ratingsreviews/finacea/
Fiorinal,http://www.druglib.com/ratingsreviews/fiorinal/
Flagyl,http://www.druglib.com/ratingsreviews/flagyl/
Flexeril,http://www.druglib.com/ratingsreviews/flexeril/
Flonase,http://www.druglib.com/ratingsreviews/flonase/
Fluconazole,http://www.druglib.com/ratingsreviews/fluconazole/
Fluvoxamine,http://www.druglib.com/ratingsreviews/fluvoxamine/
Fosamax,http://www.druglib.com/ratingsreviews/fosamax/
Glucophage,http://www.druglib.com/ratingsreviews/glucophage/
Humira,http://www.druglib.com/ratingsreviews/humira/
Hyzaar,http://www.druglib.com/ratingsreviews/hyzaar/
Imitrex,http://www.druglib.com/ratingsreviews/imitrex/
Inderal,http://www.druglib.com/ratingsreviews/inderal/
Innofem,http://www.druglib.com/ratingsreviews/innofem/
Keflex,http://www.druglib.com/ratingsreviews/keflex/
Keppra,http://www.druglib.com/ratingsreviews/keppra/
Klonopin,http://www.druglib.com/ratingsreviews/klonopin/
Lamictal,http://www.druglib.com/ratingsreviews/lamictal/
Lamisil,http://www.druglib.com/ratingsreviews/lamisil/
Lamotrigine,http://www.druglib.com/ratingsreviews/lamotrigine/
Levaquin,http://www.druglib.com/ratingsreviews/levaquin/
Levitra,http://www.druglib.com/ratingsreviews/levitra/
Levoxyl,http://www.druglib.com/ratingsreviews/levoxyl/
Lexapro,http://www.druglib.com/ratingsreviews/lexapro/
Lipitor,http://www.druglib.com/ratingsreviews/lipitor/
Lithium-Carbonate,http://www.druglib.com/ratingsreviews/lithium-carbonate/
Lorazepam,http://www.druglib.com/ratingsreviews/lorazepam/
Lortab,http://www.druglib.com/ratingsreviews/lortab/
Lumigan,http://www.druglib.com/ratingsreviews/lumigan/
Lunesta,http://www.druglib.com/ratingsreviews/lunesta/
Lyrica,http://www.druglib.com/ratingsreviews/lyrica/
Macrobid,http://www.druglib.com/ratingsreviews/macrobid/
Malarone,http://www.druglib.com/ratingsreviews/malarone/
